Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolate,Isolation_source,lat_lon,Library_ID,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Strain
SRR14119465,AMPLICON,356,85607656,PRJNA718451,SAMN18533958,Pathogen.cl,47809891,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489826,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008169,Oropharyngeal swab,missing,K008169,K008169,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008169,SRP312925,SARS-CoV-2
SRR14119466,AMPLICON,280,89087416,PRJNA718451,SAMN18533957,Pathogen.cl,49660213,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-22,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489825,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008167,Oropharyngeal swab,missing,K008167,K008167,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008167,SRP312925,SARS-CoV-2
SRR14119467,AMPLICON,267,97820824,PRJNA718451,SAMN18533956,Pathogen.cl,54435464,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-17,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489824,Mozambique,Africa,Mozambique: Maputo province,COVID-19,Homo sapiens,Illumina MiSeq,K008166,Oropharyngeal swab,missing,K008166,K008166,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008166,SRP312925,SARS-CoV-2
SRR14119468,AMPLICON,374,110582788,PRJNA718451,SAMN18533955,Pathogen.cl,62860992,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489823,Mozambique,Africa,Mozambique: Maputo province,COVID-19,Homo sapiens,Illumina MiSeq,K008165,Oropharyngeal swab,missing,K008165,K008165,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008165,SRP312925,SARS-CoV-2
SRR14119469,AMPLICON,290,112370125,PRJNA718451,SAMN18533954,Pathogen.cl,64943237,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-14,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489822,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008164,Oropharyngeal swab,missing,K008164,K008164,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008164,SRP312925,SARS-CoV-2
SRR14119470,AMPLICON,322,56119096,PRJNA718451,SAMN18533953,Pathogen.cl,33884525,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-14,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489821,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008163,Oropharyngeal swab,missing,K008163,K008163,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008163,SRP312925,SARS-CoV-2
SRR14119471,AMPLICON,374,107590143,PRJNA718451,SAMN18533952,Pathogen.cl,58948311,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489820,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008162,Oropharyngeal swab,missing,K008162,K008162,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008162,SRP312925,SARS-CoV-2
SRR14119472,AMPLICON,361,106066660,PRJNA718451,SAMN18533951,Pathogen.cl,58472154,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-22,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489819,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008161,Oropharyngeal swab,missing,K008161,K008161,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008161,SRP312925,SARS-CoV-2
SRR14119473,AMPLICON,227,92054466,PRJNA718451,SAMN18533924,Pathogen.cl,51068696,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489818,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008130,Oropharyngeal swab,missing,K008130,K008130,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008130,SRP312925,SARS-CoV-2
SRR14119474,AMPLICON,308,122598714,PRJNA718451,SAMN18533950,Pathogen.cl,68895233,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489817,Mozambique,Africa,Mozambique: Maputo Province,COVID-19,Homo sapiens,Illumina MiSeq,K008160,Oropharyngeal swab,missing,K008160,K008160,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008160,SRP312925,SARS-CoV-2
SRR14119475,AMPLICON,337,106643144,PRJNA718451,SAMN18533949,Pathogen.cl,60868732,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489816,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008159,Oropharyngeal swab,missing,K008159,K008159,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008159,SRP312925,SARS-CoV-2
SRR14119476,AMPLICON,322,98051146,PRJNA718451,SAMN18533948,Pathogen.cl,54623130,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-14,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489815,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008158,Oropharyngeal swab,missing,K008158,K008158,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008158,SRP312925,SARS-CoV-2
SRR14119477,AMPLICON,319,117582313,PRJNA718451,SAMN18533947,Pathogen.cl,63333482,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-14,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489814,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008157,Oropharyngeal swab,missing,K008157,K008157,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008157,SRP312925,SARS-CoV-2
SRR14119478,AMPLICON,361,95067513,PRJNA718451,SAMN18533946,Pathogen.cl,53923518,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-14,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489813,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008154,Oropharyngeal swab,missing,K008154,K008154,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008154,SRP312925,SARS-CoV-2
SRR14119479,AMPLICON,386,102667924,PRJNA718451,SAMN18533945,Pathogen.cl,56739206,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-14,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489812,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008152,Oropharyngeal swab,missing,K008152,K008152,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008152,SRP312925,SARS-CoV-2
SRR14119480,AMPLICON,268,41887711,PRJNA718451,SAMN18533944,Pathogen.cl,23671504,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489811,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008151,Oropharyngeal swab,missing,K008151,K008151,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008151,SRP312925,SARS-CoV-2
SRR14119481,AMPLICON,366,104398675,PRJNA718451,SAMN18533943,Pathogen.cl,58563717,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489810,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008150,Oropharyngeal swab,missing,K008150,K008150,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008150,SRP312925,SARS-CoV-2
SRR14119482,AMPLICON,335,118398332,PRJNA718451,SAMN18533942,Pathogen.cl,65334917,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-14,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489809,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008149,Oropharyngeal swab,missing,K008149,K008149,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008149,SRP312925,SARS-CoV-2
SRR14119483,AMPLICON,337,105522616,PRJNA718451,SAMN18533941,Pathogen.cl,62191068,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489808,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008147,Oropharyngeal swab,missing,K008147,K008147,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008147,SRP312925,SARS-CoV-2
SRR14119484,AMPLICON,322,112616126,PRJNA718451,SAMN18533923,Pathogen.cl,61889783,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489807,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008129,Oropharyngeal swab,missing,K008129,K008129,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008129,SRP312925,SARS-CoV-2
SRR14119485,AMPLICON,295,90472189,PRJNA718451,SAMN18533940,Pathogen.cl,49319229,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489806,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008146,Oropharyngeal swab,missing,K008146,K008146,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008146,SRP312925,SARS-CoV-2
SRR14119486,AMPLICON,324,109669524,PRJNA718451,SAMN18533939,Pathogen.cl,59758991,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489805,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008145,Oropharyngeal swab,missing,K008145,K008145,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008145,SRP312925,SARS-CoV-2
SRR14119487,AMPLICON,306,99066749,PRJNA718451,SAMN18533938,Pathogen.cl,53623566,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489804,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008144,Oropharyngeal swab,missing,K008144,K008144,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008144,SRP312925,SARS-CoV-2
SRR14119488,AMPLICON,311,84325974,PRJNA718451,SAMN18533937,Pathogen.cl,46380808,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489803,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008143,Oropharyngeal swab,missing,K008143,K008143,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008143,SRP312925,SARS-CoV-2
SRR14119489,AMPLICON,294,116064990,PRJNA718451,SAMN18533936,Pathogen.cl,63033170,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489802,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008142,Oropharyngeal swab,missing,K008142,K008142,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008142,SRP312925,SARS-CoV-2
SRR14119490,AMPLICON,351,114336470,PRJNA718451,SAMN18533935,Pathogen.cl,66154343,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-14,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489801,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008141,Oropharyngeal swab,missing,K008141,K008141,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008141,SRP312925,SARS-CoV-2
SRR14119491,AMPLICON,347,84315099,PRJNA718451,SAMN18533934,Pathogen.cl,48470907,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-14,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489800,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008140,Oropharyngeal swab,missing,K008140,K008140,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008140,SRP312925,SARS-CoV-2
SRR14119492,AMPLICON,360,95739266,PRJNA718451,SAMN18533933,Pathogen.cl,55921038,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489799,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008139,Oropharyngeal swab,missing,K008139,K008139,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008139,SRP312925,SARS-CoV-2
SRR14119493,AMPLICON,288,97516515,PRJNA718451,SAMN18533932,Pathogen.cl,56199940,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489798,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008138,Oropharyngeal swab,missing,K008138,K008138,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008138,SRP312925,SARS-CoV-2
SRR14119494,AMPLICON,364,126132456,PRJNA718451,SAMN18533931,Pathogen.cl,67740224,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489797,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008137,Oropharyngeal swab,missing,K008137,K008137,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008137,SRP312925,SARS-CoV-2
SRR14119495,AMPLICON,311,137202011,PRJNA718451,SAMN18533922,Pathogen.cl,75502934,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489796,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008128,Oropharyngeal swab,missing,K008128,K008128,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008128,SRP312925,SARS-CoV-2
SRR14119496,AMPLICON,334,132766433,PRJNA718451,SAMN18533921,Pathogen.cl,71753989,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-08,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489795,Mozambique,Africa,Mozambique: Maputo province,COVID-19,Homo sapiens,Illumina MiSeq,K008126,Oropharyngeal swab,missing,K008126,K008126,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008126,SRP312925,SARS-CoV-2
